,ward,borough,%_english_is_first_language_of_no_one_in_household_2011,median_house_price_2014,median_household_income_estimate_2012_13,male_life_expectancy_2009_13,female_life_expectancy_2009_13,%_area_that_is_open_space_2014,%_travel_by_bicycle_to_work_2011,turnout_at_mayoral_election_2012,crime_rate_2014_15,%_bame_2011,%_all_older_people_aged_65_2015,%_homes_with_good_access_to_nature,%_homes_with_deficiency_in_access_to_nature,female_life_expectancy_normalised,male_life_expectancy_normalised,median_household_income_estimate_2012_13_log
32,E05000057,Barnet,10.2,520000.0,41920.0,83.6,86.7,59.0,1.0,37.0,62.8,36.1,14.0,97.0,3.0,1.0297539286149355,1.0479326159143278,10.643518318994923
33,E05000058,Barnet,8.6,366000.0,41670.0,81.0,84.4,15.3,1.0,38.3,49.7,26.7,17.3,54.0,46.0,1.0024363503471805,1.0153414101562268,10.6375367244165
34,E05000059,Barnet,13.7,627750.0,46150.0,82.5,86.3,57.7,1.1,40.8,39.7,34.3,17.0,99.0,1.0,1.0250030454379346,1.0341440288628236,10.739652239930999
35,E05000060,Barnet,6.9,389950.0,37040.0,78.2,83.7,43.8,0.8,35.5,57.9,27.3,16.7,91.0,9.0,0.994122304787429,0.9802431885705795,10.519753688760115
36,E05000061,Barnet,19.0,385000.0,42050.0,82.2,83.5,13.4,1.7,39.3,55.2,39.2,13.1,85.0,15.0,0.9917468631989286,1.0303835051215042,10.646614665401094
37,E05000062,Barnet,24.7,346250.0,35090.0,80.7,86.0,32.0,1.3,33.2,99.9,50.6,11.2,71.0,29.0,1.0214398830551839,1.0115808864149074,10.465671468577261
38,E05000063,Barnet,16.2,370000.0,38220.0,81.9,84.0,19.3,2.0,36.7,69.3,37.6,13.8,66.0,34.0,0.9976854671701797,1.0266229813801848,10.551114217794265
39,E05000064,Bexley,1.3,250000.0,38200.0,79.5,85.4,36.0,1.0,35.1,46.5,9.8,19.3,89.0,11.0,1.0143135582896827,0.99653879144963,10.550590794594667
40,E05000065,Bexley,5.1,179500.0,33510.0,78.1,86.9,33.1,1.2,31.9,62.0,28.4,12.9,100.0,0.0,1.032129370203436,0.9789896806568062,10.419599180731357
41,E05000066,Bexley,1.2,280000.0,40780.0,82.9,87.6,9.5,1.4,35.9,28.8,7.3,19.1,98.0,2.0,1.0404434157631872,1.039158060517916,10.615947044128447
42,E05000067,Bexley,1.7,275000.0,40340.0,82.6,86.1,13.8,1.2,38.7,37.7,9.5,19.5,100.0,0.0,1.0226276038494342,1.0353975367765966,10.605098811508203
43,E05000068,Bexley,1.6,315000.0,40790.0,82.9,87.0,9.1,1.1,41.2,26.3,13.1,23.3,51.0,49.0,1.033317090997686,1.039158060517916,10.616192232311604
44,E05000069,Bexley,2.3,275000.0,40190.0,80.4,82.8,17.3,0.9,34.9,97.5,13.4,18.6,80.0,20.0,0.9834328176391771,1.0078203626735882,10.601373487443247
45,E05000070,Bexley,2.0,247000.0,34450.0,78.3,84.7,13.0,1.1,28.0,39.5,17.7,15.0,32.0,68.0,1.0059995127299313,0.9814966964843526,10.447264276441805
46,E05000071,Bexley,1.9,231500.0,34900.0,79.5,84.1,41.7,1.0,30.5,62.2,11.7,14.6,93.0,7.0,0.9988731879644298,0.99653879144963,10.460242108190519
47,E05000072,Bexley,2.3,285000.0,35530.0,79.8,83.6,61.7,1.5,31.6,54.3,11.0,17.7,100.0,0.0,0.9929345839931788,1.0002993151909494,10.478132689015073
48,E05000073,Bexley,3.1,265750.0,38580.0,81.2,83.1,36.4,1.1,34.2,54.0,16.2,18.0,100.0,0.0,0.9869959800219277,1.017848425983773,10.56048928645972
49,E05000074,Bexley,3.2,259497.5,36260.0,81.3,84.7,26.8,1.2,32.2,40.5,16.9,19.2,100.0,0.0,1.0059995127299313,1.019101933897546,10.498470484308841
50,E05000075,Bexley,5.6,181000.0,33160.0,79.2,84.8,44.6,1.0,27.0,82.3,31.4,11.6,77.0,23.0,1.0071872335241814,0.9927782677083107,10.409099609249232
51,E05000076,Bexley,2.6,280000.0,39000.0,80.3,86.2,0.7,1.1,35.8,47.7,15.4,16.7,63.0,37.0,1.0238153246436843,1.006566854759815,10.571316925111784
52,E05000077,Bexley,5.0,257500.0,35630.0,81.7,84.0,37.0,1.1,32.9,59.8,31.0,16.5,100.0,0.0,0.9976854671701797,1.0241159655526386,10.480943258599881
53,E05000078,Bexley,2.1,250000.0,40880.0,81.4,82.1,28.9,1.3,38.0,34.2,9.4,21.2,38.0,62.0,0.9751187720794255,1.0203554418113194,10.618396224877586
54,E05000079,Bexley,3.3,204497.5,29930.0,75.6,81.9,65.3,1.3,25.6,81.2,27.0,10.6,59.0,41.0,0.9727433304909252,0.9476519828124782,10.306616600846745
55,E05000080,Bexley,1.9,250000.0,37130.0,79.5,86.1,13.6,1.2,34.6,42.1,14.5,16.9,94.0,6.0,1.0226276038494342,0.99653879144963,10.522180547171125
56,E05000081,Bexley,1.1,315000.0,44010.0,81.8,88.2,46.8,1.2,42.0,33.2,8.4,22.4,100.0,0.0,1.0475697405286888,1.0253694734664116,10.692172159805137
57,E05000082,Bexley,2.4,280000.0,38510.0,80.5,84.9,5.9,1.1,34.5,30.0,17.3,15.6,77.0,23.0,1.0083749543184317,1.0090738705873612,10.558673226808954
58,E05000083,Bexley,2.2,280000.0,41220.0,80.0,82.9,25.8,1.2,40.9,50.5,10.1,19.9,96.0,4.0,0.9846205384334273,1.0028063310184956,10.62667885444445
